ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
1.0001,AGUA DEL TORO,,-34.584185,-69.03639565,120,325,432,10.85,,Diamante,,1976,X,,X,,X,,,Argentina,25 de mayo,Mendoza,
1.0002,AISOL,,-34.990869,-68.62340901,38,84,0.71,0.08,,Atuel,,1968,,,X,,,,,Argentina,Mendoza,Mendoza,
1.0003,LOS ALAZANES,,-30.88533,-64.45881,34,,0.2,0.03,,Los Alazanes,,1941,,,,,,X,,Argentina,Cordoba,Córdoba,
1.0004,ALICURA,,-40.58544,-70.75256713,130,880,3215,65,ALICURÁ,Limay,,1984,,,X,,,,,Argentina,Bariloche,Río Negro/Neuquén,
1.0005,LOS ALISOS,,-24.26048,-65.33316,51,,19,1.42,,Los Alisos,,1982,X,,,,X,X,,Argentina,Jujuy,Jujuy, 
1.0006,ALLEN,ZANJON,-38.94532,-67.81488,22,,12,,,Zanjón Allen,,1973,X,,,,,,,Argentina,Allen,Rio Negro,
1.0007,LA ANGOSTURA,MOLLAR,-26.93082,-65.68487,35,,70,8,,Angostura,,1979,X,,,,X,X,,Argentina,Tucuman,Tucuman,
1.0008,ANZULON,,-30.85737,-66.27048,32,114,36,0.0032,,Anzulen,,1938,,,,,,,,Argentina,Catuna,,
1.0009,ARROYITO,,-39.103949,-68.58728734,37,3500,296,38.6,Arroyito,Limay,,1983,,,X,,,,,Argentina,Neuquen,Río Negro/Neuquén,
1.001,ARROYO CORTO,,-32.222606,-64.56850044,42,,35,3.95,,Grande,,1989,,,X,,,,,Argentina,Cordoba,Cordoba,
1.0011,BATIRUANA,,-27.637679,-65.74706348,43,115,0.44,0.1,,Marapa,,1954,,,X,,X,,,Argentina,"Villa Alberdi, Tucuman",Tucumán,
1.0012,EL BOLSÓN,,-28.589556,-65.28768352,,,,,,,,,,,,,,,,Argentina,Frías,Catamarca,
1.0013,EL CADILLAL,DR. CELESTINO GELSI,-26.615987,-65.19393736,85,503,275,12.95,,Sali,,1966,X,,X,,X,X,,Argentina,Tafí viejo / Tucumán,Tucumán,
1.0014,CAMPO ALEGRE,,-24.57547,-65.36732,53,,44,3.15,,Angostura,,1976,,X,,,X,X,,Argentina,La Caldera / Salta,Salta,
1.0015,LA CAÑADA,,-28.16893,-65.52895,34,,11,1.07,,Carpintería,,1958,,,,,X,,,Argentina,Catamarca,Catamarca,
1.0016,CARACOLES,,-31.518637,-68.98231297,138,620,585,12,,San Juan,,2009,,X,X,,X,X,,Argentina,Zonda / San Juan,San Juan,
1.0017,EL CARRIZAL,,-33.298254,-68.72365999,55,2000,350,31.5,,Tunuyan,,1972,X,X,X,,X,,,Argentina,Luján / Mendoza,Mendoza,
1.0018,CASA DE PIEDRA,,-38.213043,-67.19110084,47,10260,4000,360,,Colorado,,1989,X,,X,,X,,,Argentina,General Roca,La Pampa/Río Negro,
1.0019,LOS CAUQUENES,,-30.14787,-68.61743,45,,30,5.8,,Las Carretas,,1968,,,,,X,,,Argentina,Jachal / San Juan,San Juan,
1.002,CERRO PELADO,,-32.23354,-64.6386,50,1480,,0.0124,,Grande,,1984,X,X,X,,,,,Argentina,Amboy,Cordoba,SECONDARY DAM
1.0021,CERRO PELADO,,-32.22568,-64.6392,104,,370,12.4,,Grande,,1984,X,,X,,X,,,Argentina,Amboy,Cordoba,MAIN DAM
1.0022,EL CHAÑAR,,-38.580924,-68.38955889,14,6300,34.5,10,,Neuquen,,1980,,,X,,,,,Argentina,Neuquen,Neuquen,
1.0023,CHAÑARMUYO,,-28.62632,-67.59753,30,,6,0.8,,Chañarmuyo,,1986,,,,,X,,,Argentina,La Rioja,La Rioja,
1.0024,EL CHOCÓN,,-39.269276,-68.75743472,86,2500,20200,82,RAMOS MEXÍA,Limay,,1973,X,,X,,X,,,Argentina,El Chocón,Río Negro/Neuquén,
1.0025,LA CIENAGA,,-24.41803,-65.28244,27,,26,2.75,,Perico,,1923,,,,,X,,,Argentina,Jujuy,Jujuy,
1.0026,COYAGASTA,,-28.33557,-65.30225,36,,9,1.05,,Coyagasta,,1964,,,,,X,,,Argentina,Catamarca,Catamarca,
1.0027,CRUZ DE PIEDRA,,-33.262622,-66.21715253,45,,12.5,2.1,,Cuchi Corral,,1941,,,X,,X,X,,Argentina,El volcán,San Luis,
1.0028,CRUZ DEL EJE,,-30.766392,-64.7545588,40,3080,129,12.8,,Cruz del Eje,,1944,X,,X,,X,,,Argentina,Cruz del Eje,Córdoba,
1.0029,CUESTA DEL VIENTO,,-30.19146,-69.06372956,105,320,20.6,,,Jáchal,,1998,,,X,,X,X,,Argentina,Rodeo,San Juan,
1.003,ESCABA,,-27.65904,-65.76298,83,238,142.5,5.35,,Marapa,,1948,,,,,,,,Argentina,Villa Alberdi,Tucumán,
1.0031,ESCABA,,-27.65688,-65.76319,17,60,,,,Marapa,,1948,X,,X,,X,,,Argentina,Villa Alberdi,Tucumán,
1.0032,LA FALDA,,-31.09651,-64.50119,23,,0.8,0.145,,Grande,,1980,X,,,,X,X,,Argentina,Cordoba,Cordoba,
1.0033,FLORENTINO AMEGHINO,,-43.699744,-66.48344956,113,255,1855,74,Florentino Ameghino,Chubut,,1963,X,X,X,,X,,,Argentina,Gaiman,Chubut,
1.0034,LA FLORIDA,,-33.11349,-66.00275,75,310,105,5.35,,Quinto,,1953,,,X,,X,,,Argentina,El Trapiche,San Luis,
1.0035,FUTALEUFU,,-43.10904,-71.6514,130,600,5600,87,Amutui Quimey,Futaleufu,,1976,,,X,,,,,Argentina,Trevelin,Chubut,
1.0036,GENERAL MANUEL BELGRANO,CABRA CORRAL,-25.26754,-65.33028,114,510,3100,113.6,CABRA CORRAL,Juramento,,1973,X,X,X,,X,,,Argentina,Coronel Moldes,Salta,
1.0037,LA HUERTITA,,-32.404278,-65.7228156,55,,470,4.3,,Quines,,1981,X,,,,X,,,Argentina,Quines,San Luis,
1.0038,INGENIERO BALLESTER,,-38.72602,-68.17304,20,,,,,Neuquen,,1927,X,,,,X,,,Argentina,Neuquen/Rio Negro,Río Negro/Neuquén,
1.0039,INGENIERO BENJAMÍN REOLIN,RIO TERCERO III,-32.190953,-64.3233812,48,,26,2.93,,Tercero,,1966,,,X,,,,,Argentina,Almafuerte,Córdoba,
1.004,INGENIERO C. ROGGERO,,-34.684842,-58.84921133,21,7000,120,3.4,,Reconquista,,1973,X,,,,,,,Argentina,Buenos Aires,Buenos Aires,
1.0041,IPIZCA,,-28.81931,-65.54105,38,,9.4,1.03,,Icaño,,1956,,,,,X,,,Argentina,Catamarca,Catamarca,
1.0042,ITIYURO,,-22.0995,-63.73719648,62,,80,3.9,,Carapari,,1974,,,,,X,X,,Argentina,Pocitos,Salta,
1.0043,EL JUMEAL,,-28.45661,-65.80925,29,,1,0.11,,La Florida,,1945,X,,,,X,,,Argentina,Catamarca,Catamarca,
1.0044,LANGUEYU,,-37.343021,-59.12879724,15,,0.3,,,Del Fuerte,,1961,X,,,,X,,,Argentina,Buenos Aires,Buenos Aires,
1.0045,LOMA DE LA LATA,,-38.546334,-68.61438224,16,2300,27770,411.5,,Neuquén,,1977,X,,X,,,,,Argentina,Neuquen ,Neuquen,
1.0046,LAS LOMITAS,,-24.896432,-65.62681769,24,,7,0.53,,Toro,,1978,,,,,X,,,Argentina,Salta,Salta,
1.0047,LUJÁN,,-32.39967,-65.91231724,47,,6,0.3,,Luján,,1958,,,,,X,,,Argentina,Luján,San Luis,
1.0048,LAS MADERAS (COMP.),,-24.448497,-65.20612216,33,,2,0.3,,Las Pavas,,1985,,,X,,X,,,Argentina,Jujuy,Jujuy,
1.0049,LAS MADERAS,,-24.449889,-65.24985318,98,,300,9.6,,Las Maderas,,1974,,,X,,X,,,Argentina,El Carmen,Jujuy,
1.005,LOS MOLINOS I,,-31.81841,-64.50313,63,225,307,21.55,,Los Molinos,,1953,,X,X,,X,X,,Argentina,Villa Belgrano,Córdoba,
1.0051,LOS MOLINOS II,,-31.847679,-64.43431432,33,,3.75,0.45,,Los Molinos,,1954,,,X,,X,X,,Argentina,Cordoba,Córdoba,
1.0052,MOTEGASTA,,-29.037671,-65.36013132,32,,7.2,1.2,,Motegasta,,1962,,,,,X,,,Argentina,Catamarca,Catamarca,
1.0053,EL NIHUIL,,-35.025911,-68.67946934,28,315,259,7.5,,Atuel,,1947,X,X,X,,X,,,Argentina,San Rafael,Mendoza,
1.0054,LOS NOGALES,,-30.979074,-64.1123578,,,,,,,,,,,,,,,,Argentina,,Córdoba,
1.0055,NOGOLI,,-32.92619,-66.29511,50,,23,1.4,,Nogolí - Molle,,2003,,,X,,X,,,Argentina,San Luis,San Luis,
